"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@type ","must exist: ?@namespace ","must exist: ?@properties ","?@class java#implements org.eclipse.core.expressions.PropertyTester  ","variable ?@id ","variable ?@type ","variable ?@namespace ","variable ?@properties ","variable ?@class ",,,,,,,,,,,,,
"    org.eclipse.birt.report.designer.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","ElementContainerTester ","org.eclipse.birt.report.model.api.DataItemHandle ","ElementContainer ","containerName ","org.eclipse.birt.report.designer.internal.ui.extension.ElementContainerTester            ",,,,,,,,,,,,,
"    org.eclipse.birt.report.designer.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","SlotHandleTester ","org.eclipse.birt.report.model.api.SlotHandle ","SlotHandle ","id","elementName ","org.eclipse.birt.report.designer.internal.ui.extension.SlotHandlePropertyTester            ",,,,,,,,,,,,
"    org.eclipse.ltk.ui.refactoring","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ltk.ui.refactoring.refactoringPropertiesTester ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.ltk.ui.refactoring ","refactoringPropertiesEnabled ","org.eclipse.ltk.internal.ui.refactoring.history.RefactoringPropertyPageTester            ",,,,,,,,,,,,,
"    org.eclipse.jdt.launching","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.launching.JavaLaunchableTester ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.jdt.launching ","hasMain"," extendsClass"," extendsInterface"," hasMethod"," isContainer"," hasProjectNature"," buildpathReference"," hasMethodWithAnnotation"," hasTypeWithAnnotation"," isPackageFragment"," isPackageFragmentRoot ","org.eclipse.jdt.internal.launching.JavaLaunchableTester            ",,,
"    org.eclipse.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.expressions.IWatchExpressionFactoryTester ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.debug.ui ","canCreateWatchExpression ","org.eclipse.debug.internal.ui.actions.expressions.WatchExpressionFactoryTester            ",,,,,,,,,,,,,
"    org.eclipse.debug.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.IResourceExtender ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.debug.ui ","matchesPattern"," projectNature"," matchesContentType ","org.eclipse.debug.internal.ui.ResourceExtender            ",,,,,,,,,,,
"    org.eclipse.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.propertyTesters.launchable ","java.lang.Object ","org.eclipse.debug.ui ","launchable"," contextlaunch ","org.eclipse.debug.internal.ui.actions.LaunchablePropertyTester            ",,,,,,,,,,,,
"    org.eclipse.debug.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.ui.JavaConsolePropertyTester ","org.eclipse.ui.console.IConsole ","org.eclipse.debug.ui ","processTypeTest ","org.eclipse.debug.internal.ui.views.console.ProcessTypePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.debug.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.debugElementProperties ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.debug.ui ","getModelIdentifier","isTerminatedOrDisconnected ","org.eclipse.debug.internal.ui.DebugModelPropertyTester            ",,,,,,,,,,,,
"    org.eclipse.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.activityPropertyTester ","org.eclipse.ui.IWorkbench ","org.eclipse.ui ","isActivityEnabled","isCategoryEnabled ","org.eclipse.ui.internal.activities.ActivityPropertyTester            ",,,,,,,,,,,,
