"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../category/@name ","must exist: ?../primaryWizard/@id ","?@class java#implements org.eclipse.ui.INewWizard  ","variable ?../category/@name ","variable ?../primaryWizard/@id ","variable ?@class "
"    org.eclipse.jdt.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newWizardCategoryName ","? ","org.eclipse.jdt.internal.debug.ui.snippeteditor.NewSnippetFileCreationWizard            "
"    org.eclipse.wst.common.project.facet.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.common.project.facet.ui.BasicFacetedProjectWizard            "
"    org.eclipse.wst.css.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.css.ui.internal.wizard.NewCSSWizard            "
"    org.eclipse.emf.importer","anonymous",TRUE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.emf.importer.ui.EMFModelWizard            "
"    org.eclipse.emf.importer","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.emf.importer.ui.EMFProjectWizard            "
"    org.eclipse.rse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%Creation.category.name ","? ","org.eclipse.rse.ui.wizards.newconnection.RSEMainNewConnectionWizard            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.ant.internal.ui.datatransfer.AntNewJavaProjectWizard            "
"    org.eclipse.gef.examples.ui.pde","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newWizardCategories.examples.GEFPDEPlugin ","? ","org.eclipse.gef.examples.ui.pde.internal.wizards.LogicExampleNewWizard            "
"    org.eclipse.gef.examples.ui.pde","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newWizardCategories.examples.GEFPDEPlugin ","? ","org.eclipse.gef.examples.ui.pde.internal.wizards.FlowExampleNewWizard            "
"    org.eclipse.gef.examples.ui.pde","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newWizardCategories.examples.GEFPDEPlugin ","? ","org.eclipse.gef.examples.ui.pde.internal.wizards.ShapesExampleNewWizard            "
"    org.eclipse.gef.examples.ui.pde","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%newWizardCategories.examples.GEFPDEPlugin ","? ","org.eclipse.gef.examples.ui.pde.internal.wizards.TextExampleNewWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.plugin.NewPluginProjectWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.plugin.NewLibraryPluginProjectWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.plugin.NewFragmentProjectWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.extension.NewSchemaFileWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.feature.NewFeatureProjectWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.feature.NewFeaturePatchWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.site.NewSiteProjectWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.product.NewProductFileWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.target.NewTargetDefinitionWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.cheatsheet.NewCSFileWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.toc.NewTocFileWizard            "
"    org.eclipse.pde.ui","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%new.category.name ","? ","org.eclipse.pde.internal.ui.wizards.ctxhelp.NewCtxHelpWizard            "
"    org.eclipse.datatools.sqltools.sqlscrapbook","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%NewWizardCategoryName ","? ","org.eclipse.datatools.sqltools.internal.sqlscrapbook.wizards.NewSQLScrapbookFileCreationWizard            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.mylyn.internal.tasks.ui.wizards.NewLocalCategoryWizard            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.mylyn.internal.tasks.ui.wizards.NewTaskWizard            "
