"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@name ","must exist: ?count/@value ","?count/@value.null net.java.treaty.Operator$REGEX@16244b4(\d)*|\*|\?|\+|\! ","?@class java#implements org.eclipse.ui.IWorkbenchPropertyPage  ","variable ?@id ","variable ?@name ","variable ?count/@value ","variable ?@class "
"    org.eclipse.jdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.BuildPathsPropertyPage ","%buildPathPageName ","? ","org.eclipse.jdt.internal.ui.preferences.BuildPathsPropertyPage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.CodeStylePreferencePage ","%codeStylePageName ","? ","org.eclipse.jdt.internal.ui.preferences.CodeStylePreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.ImportOrganizePreferencePage ","%importOrganizePageName ","? ","org.eclipse.jdt.internal.ui.preferences.ImportOrganizePreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.CodeFormatterPreferencePage ","%codeFormatterPageName ","? ","org.eclipse.jdt.internal.ui.preferences.CodeFormatterPreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.CleanUpPreferencePage ","%cleanUpPageName ","? ","org.eclipse.jdt.internal.ui.preferences.CleanUpPreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.CodeTemplatePreferencePage ","%codeTemplatePageName ","? ","org.eclipse.jdt.internal.ui.preferences.CodeTemplatePreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.CompliancePreferencePage ","%compliancePageName ","? ","org.eclipse.jdt.internal.ui.preferences.CompliancePreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.ProblemSeveritiesPreferencePage ","%problemSeveritiesPageName ","? ","org.eclipse.jdt.internal.ui.preferences.ProblemSeveritiesPreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.JavadocProblemsPreferencePage ","%javadocProblemsPageName ","? ","org.eclipse.jdt.internal.ui.preferences.JavadocProblemsPreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.JavaBuildPreferencePage ","%builderPageName ","? ","org.eclipse.jdt.internal.ui.preferences.JavaBuildPreferencePage            "
"    org.eclipse.jdt.ui","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.ui.propertyPages.TodoTaskPreferencePage ","%todoPageName ","? ","org.eclipse.jdt.internal.ui.preferences.TodoTaskPreferencePage            "
